iter,k,mse_est,mse_true
1,191,3382.7030563523044,3331.935028207687
2,171,3466.3975858381464,3343.529919215803
3,151,3421.6077234668182,3346.0148390986496
4,191,3313.146087223316,3354.2691835650417
5,151,3304.1473499721296,3349.3926386755898
6,191,3401.3023542799806,3334.4917316488
7,151,3274.173735584302,3346.9861158299536
8,111,3345.2045745851624,3359.917089451696
9,191,3467.6011811650146,3330.8626687678016
10,161,3299.420365843048,3340.4442505978436
11,191,3255.35918742176,3339.9984013941166
12,191,3339.462342820702,3335.825968410202
13,191,3330.6261882221193,3345.471177793736
14,181,3314.837180989425,3347.522983808528
15,191,3333.1240130407277,3353.3088846398514
16,191,3308.6405948006004,3339.982754675061
17,121,3319.981312357129,3351.5877152337375
18,191,3327.593644188421,3345.923945804356
19,181,3328.6951904654543,3355.0534973331187
20,191,3282.41609420494,3349.158036952268
21,181,3362.640346110618,3343.4848465873565
22,141,3311.755445192786,3354.2644172903897
23,191,3244.038861259974,3343.3870476489324
24,161,3335.0181975103146,3340.8491256649795
25,191,3327.450945659198,3341.3966824280883
26,191,3472.084169763706,3331.653259707066
27,161,3335.3732873490762,3333.2485433930265
28,111,3315.1235254786184,3362.9595969633433
29,191,3342.047905995118,3342.4629099092735
30,191,3362.6673050552427,3343.9219241529945
31,191,3305.3976794237333,3337.246487266893
32,161,3423.0251361760406,3339.5203737390775
33,81,3235.920911840631,3370.114964776253
34,191,3294.2812782819606,3334.942529186098
35,161,3254.373802351062,3360.885076402374
36,161,3250.074071490016,3356.1125356166017
37,81,3285.3334737375694,3371.682723173343
38,111,3234.8875265989195,3358.1286208627566
39,181,3301.483752791812,3336.38088737779
40,111,3340.4029266319503,3349.248264888096
41,191,3318.9122418563657,3347.9488626320717
42,171,3382.5623661437157,3346.3370111912445
43,171,3389.460685289015,3337.0826876968745
44,191,3303.3230554827833,3340.6981916356963
45,191,3224.9585682898405,3339.564208226839
46,191,3384.550915389014,3342.753793238726
47,141,3339.025320186004,3346.1896338779597
48,141,3310.849150162449,3351.880850859811
49,191,3263.658945191952,3348.478788970453
50,91,3437.885155229339,3359.63584089103
51,191,3304.6021565681654,3338.664793045733
52,191,3380.039646505705,3341.2685969356294
53,191,3360.3726669855437,3348.5110824313138
54,121,3225.1309597134077,3365.6185530360112
55,191,3217.535574117626,3361.1708819988044
56,81,3379.1539739831537,3351.4655468932474
57,191,3365.203336947614,3335.7847920878835
58,191,3346.6025938055545,3334.1080376233767
59,131,3303.6519839679627,3368.733625261987
60,181,3492.7978511210827,3329.9338746242997
61,151,3460.2020385964,3338.636247806408
62,191,3332.3238238610475,3337.414407986265
63,171,3233.1900982859875,3356.1970820191036
64,191,3342.8314671526496,3358.3606039895412
65,141,3321.795040722849,3351.7941649624804
66,151,3316.0509621921465,3351.7046315718803
67,131,3349.0980196330383,3345.8804947315907
68,181,3329.7156726570274,3339.800937027475
69,191,3282.538097901829,3344.836450506483
70,161,3424.6713088275865,3342.331045595372
71,161,3323.231192149419,3345.4598839095474
72,191,3224.4745223747504,3339.755301955335
73,111,3452.967190434203,3351.2171534835247
74,151,3299.599848901085,3340.209834933194
75,191,3387.8543142098056,3333.2956570080846
76,191,3391.632248998269,3332.6495967532423
77,141,3268.433645116393,3347.564132419768
78,171,3353.8181270480823,3342.618213138116
79,111,3338.9823514866384,3361.283542474893
80,191,3290.0421888997757,3345.896768023423
81,151,3351.4449672969927,3346.6395675945832
82,191,3285.120821186365,3357.744783535811
83,151,3373.5257747343044,3341.30030926176
84,91,3299.054349665622,3374.519413687807
85,191,3444.039887348289,3332.414071581245
86,121,3320.7384345736045,3357.052843041675
87,141,3224.412816867921,3350.6681077551193
88,191,3287.434195009672,3345.4011992622345
89,181,3361.4096200939603,3341.8763523512566
90,191,3351.0201322126377,3337.153838620691
91,191,3277.5614230969427,3339.637627916137
92,151,3345.3296442043215,3342.7829373419722
93,171,3222.408568438079,3352.196420831463
94,191,3382.0257541607502,3332.133729015767
95,101,3394.077873019057,3370.9360457307007
96,191,3419.3017638943793,3333.336312284423
97,171,3382.21188519283,3333.8740505016135
98,191,3368.619588979227,3343.8776818433985
99,121,3444.5453299300275,3349.1030637034487
100,151,3370.102998850699,3333.8938654756034
101,181,3315.7158529330363,3344.3574045491628
102,91,3335.6959446933733,3367.8911350204476
103,191,3354.468854204431,3339.833010665894
104,191,3345.4897178663396,3345.1254141053414
105,131,3390.9908292898494,3341.8418748893982
106,181,3341.781513770841,3333.606480776176
107,181,3324.3825237053156,3343.4028688633175
108,121,3367.366194167341,3343.5989669746764
109,191,3227.5323819873256,3337.347294860518
110,151,3252.6798738211514,3353.5598224281384
111,171,3421.100826814951,3343.1284221336987
112,181,3312.7231266395656,3345.6347386350035
113,191,3278.066197921131,3339.7826527798907
114,91,3387.366191663474,3359.400453791016
115,191,3270.6767479421837,3343.3349770572286
116,191,3339.23635328725,3346.823142224258
117,111,3373.441892250733,3364.175442979982
118,191,3418.1983446316653,3336.1933208309206
119,191,3252.5256099329604,3350.7309092420537
120,171,3456.31977979233,3345.983188077431
121,171,3309.8162550090087,3340.356566050923
122,191,3479.574058381465,3336.06285768057
123,191,3311.7450499454803,3341.5755205319606
124,191,3435.374769039727,3327.4585360740016
125,181,3327.6739687403124,3337.7936518446954
126,171,3373.7810093668186,3337.403506714793
127,171,3404.1827851121297,3347.6411559646212
128,191,3324.456676268765,3340.9471427407525
129,141,3282.212707925842,3350.2091715989113
130,161,3306.8430527851874,3339.163397432063
131,191,3285.6615340716166,3349.565358672599
132,191,3464.5462773345234,3323.4118565166523
133,111,3341.9534348731017,3340.240550265162
134,181,3415.2255321482157,3337.8223114012035
135,181,3366.546322683584,3338.2948809513014
136,191,3326.310657790174,3341.0008505358805
137,191,3314.1329375039927,3338.6905131104877
138,191,3333.2739962915916,3340.66682090474
139,191,3353.543569462116,3333.1253087871028
140,191,3443.506003582979,3333.6100296259588
141,101,3324.353297319239,3378.0351686867757
142,121,3235.236140616639,3361.243987108747
143,191,3395.2135293660535,3336.09937061276
144,181,3462.669164896929,3334.697721067705
145,191,3332.1514822148624,3346.3633288685164
146,101,3307.977838906123,3372.8261629944136
147,191,3360.373231861548,3343.9829075372463
148,191,3377.222317045336,3337.2660649720706
149,71,3273.99272051165,3387.8263780574825
150,191,3309.3934151093836,3348.6554816957255
151,121,3361.0893863857295,3348.5402175720947
152,181,3304.0034636165487,3348.320919475961
153,181,3303.527228978975,3338.3141557560716
154,191,3369.2058760230498,3338.5456030742116
155,171,3333.460172066831,3336.214527775011
156,161,3427.829317581885,3338.0913594694043
157,181,3375.694070978118,3340.742239477741
158,181,3354.848342151823,3346.0283975422926
159,141,3346.937393608897,3345.1768828994373
160,181,3315.553755260618,3342.1264538540363
161,181,3384.9290031879877,3339.249614083634
162,171,3286.618386711335,3347.8833865902557
163,181,3281.745053388399,3339.286816250026
164,171,3386.5789775823787,3336.144592219685
165,111,3335.1388225348255,3349.344735902065
166,191,3352.789445985157,3349.4165658038423
167,171,3328.6859749667847,3342.1539216849415
168,171,3465.156322680722,3327.062855235705
169,181,3337.672450485126,3347.5499655703484
170,171,3344.7770029845283,3339.306082288622
171,111,3342.591132024855,3348.07724523997
172,191,3417.4898800336523,3335.7273011198945
173,191,3455.9098824591883,3334.561982505011
174,171,3352.0034079065967,3337.5071856900367
175,141,3399.3815148647686,3340.548351491122
176,191,3418.3764756156943,3330.375196629253
177,131,3294.259400123995,3357.4166179468602
178,181,3191.9627574896685,3354.2649280410337
179,161,3267.0842737292496,3341.515385968617
180,191,3399.5513515364473,3350.866769784606
181,81,3293.274480285053,3388.332736642338
182,151,3378.056160174928,3338.226409219952
183,51,3400.5532316248336,3423.1555954050036
