iter,k,mse_est,mse_true
1,41,3413.5520431935956,3603.751238868097
2,61,3180.427704676119,3824.1091309026333
3,41,3345.367581943311,3738.2200314618717
4,101,3362.959476687116,3753.218341763992
5,111,3821.3080646684753,3691.0174391443743
6,21,3156.428151134774,3812.369620081179
7,41,3381.2214080022363,3605.5255657530975
8,191,3213.121484547264,3669.336415940334
9,41,2949.7771234775464,3799.2899043725147
10,31,3564.6069395587656,3574.102163350142
11,71,2799.295003297383,3701.6605141674277
12,121,3099.2489023740436,3759.532751180688
13,61,3696.074835818455,3827.267846480754
14,71,3576.4032033833064,3739.5448928179067
15,101,2873.6663186792525,3678.9079749025905
16,191,3079.514198600853,3712.3796083401344
17,121,3253.089192166415,3638.17422461898
18,41,3417.213576342021,3645.032089326064
19,21,3559.2297777000263,3648.6033184164216
20,121,3000.5218133775365,3673.9963293600085
21,131,3773.224917465812,3676.5663315134034
22,51,3455.053913909363,3798.0427419123725
23,81,3461.364485834067,3747.6514821528017
24,51,3243.6923331799776,3617.329989306552
25,91,3457.9818871641855,3767.4128914961493
26,171,3666.071488661504,3716.697558009448
27,51,2958.74920222754,3609.3502445986474
28,31,2856.805867676034,3626.0142705377643
29,81,4538.533332794885,3538.4918344767666
30,101,2935.73516341137,3785.3178725013836
31,121,3381.9097003256097,3688.0295804233265
32,61,3258.648672849485,3600.551916390537
33,51,2967.1417344027145,3731.2792310022037
34,31,3189.238945335604,3760.2679372763123
35,151,3538.106556844402,3615.041446267122
36,31,4114.950655226392,3559.9225140494045
37,111,2800.812768129605,3785.3688641557465
38,81,2787.8876222366684,4052.5814895368626
39,41,3074.033929064098,3602.843373375642
40,71,3182.0768525374037,3689.6194423068487
41,61,3422.1023509838797,3582.094560984134
42,41,4062.192477852375,3654.139193634777
43,21,3678.0995975975243,3621.972643940014
44,81,2833.01109721859,3715.58465997411
45,41,3155.245177643567,3690.2920764467763
46,31,4540.833669968245,3637.767310362838
47,191,3320.2988951574057,3708.771164996263
48,21,3361.8743987496946,4010.309897905526
49,71,3358.2784285953508,3922.3149129158774
50,61,3340.2211545083364,3580.090648166586
51,31,3448.031598036071,3629.163091729863
52,121,3036.6395665861787,3624.8136998557034
53,61,4331.347948252056,3590.6032593632485
54,161,3848.809004435622,3669.764300135853
55,51,2925.432436969272,3700.67830279207
56,41,3808.3858271875156,3618.193935564006
57,131,3575.7375134912468,3577.0461702381735
58,141,3869.080637037643,3654.04153020208
59,101,3243.1587932792736,4181.069829055341
60,81,4053.7160570669066,3542.9776724063827
61,41,3587.6303557698966,3642.384487331561
62,91,3781.5318063355608,3687.359643451615
63,121,3537.5436877121706,3661.270524947353
64,21,3278.2148619402897,3726.2854448301173
65,161,3484.76701052831,3755.5855424607007
66,61,2979.643379845374,4072.8980374137623
67,101,3398.6273029136214,3650.1567851431505
68,141,4222.801229498735,3544.6240191439883
69,41,3577.3118346685037,3612.422735043083
70,121,3450.2281010569777,3588.447280125539
71,91,2759.3478449266922,3613.7296489574574
72,61,3465.0643900551995,3551.849210145298
73,31,3215.914258657088,3901.779481729434
74,91,3612.3380363427495,3720.1462105788983
75,41,3757.093560877224,3760.5271258172775
76,121,3473.7914797472804,3578.438471574611
77,51,2801.044484481619,3730.382447889262
78,41,4008.836946922493,3663.7806221912633
79,31,4007.563124909471,3676.999555346189
80,161,2926.873166819481,3666.9605265712794
81,41,4032.1651157892416,3604.3268513758494
82,161,3289.626390999812,3631.7912901105187
83,51,3160.9088741791875,3642.5171289777454
84,71,3109.158693024166,3636.551790263945
85,51,3404.4197545654124,3605.2351328576165
86,41,3090.549478079907,3726.2360313008494
87,191,3277.2151127808306,3714.448102169961
88,81,3383.9610717266355,3561.4128825086755
89,51,3680.247531593661,3613.782644954755
90,141,3547.0614191522977,3760.566720928421
91,81,3698.3923885436334,3624.0680038585524
92,181,3993.716541437443,3632.747388080652
93,171,3209.1919342989045,3656.01770970518
94,31,2917.422010238388,3747.0389601892753
95,41,3380.264555316813,3647.793591792671
96,41,2993.824797498732,3810.639700873942
97,51,3169.2986249104324,3699.6161244015993
98,81,3088.8583286543035,3704.3549653631076
99,171,3663.419576876876,3620.147955264204
100,151,3326.179074322408,3755.938035241341
101,51,3312.9544086553424,3857.85305861154
102,51,2963.7701766502405,3645.2455992352243
103,51,3821.860101056644,3698.9295221126263
104,171,2859.7848293628613,3787.0804169439343
105,191,3215.7971243181287,3743.9850970779776
106,61,2446.6504308145345,3806.032538583903
107,91,3557.7235591870526,3588.250798249785
108,31,3981.2942079836803,3550.95240103678
109,31,4155.633934963803,3652.481711265158
110,51,3399.3508065088577,3719.8097639427547
111,191,3156.62558152483,3678.796237721657
112,81,3689.115588147758,3727.416667878095
113,51,3474.699564050445,3682.7370735466125
114,181,3621.5221088567196,3668.7245451603567
115,31,3443.344893350198,3678.050523401026
116,31,4025.962052475358,3767.2625984004526
117,61,3700.401772161055,3823.989160116371
118,31,3300.9620453677194,3606.2797800754884
119,131,3369.5499786491264,3643.113056826981
120,181,2805.865262161708,3655.5027376483094
121,91,2849.9501248837432,3654.0843102617723
122,31,2466.0822286389716,3604.06053182924
123,31,3498.5872940142654,3666.3248970535174
124,51,3166.7063771552816,3645.5408043876646
125,21,3317.402758055764,3749.9401085568097
126,41,3664.3723286535783,3695.8483947399554
127,61,3309.4637199855547,3623.818407828561
128,41,3526.9075944929514,3574.61927419899
129,21,3361.4505520390753,3615.5124426266625
130,131,4022.092727321077,3546.329402664313
131,71,3401.913392465891,3716.2660534423535
132,181,3780.029908419902,3673.1687709842195
133,171,3248.1693976215647,3654.220867580927
134,161,3619.4284965686315,3628.139983074973
135,121,3768.410368288195,3655.0860591352366
136,41,3304.6250693964716,3608.542580516111
137,51,3723.5137655580097,3551.394723754377
138,91,3102.4849476118156,3590.448765398828
139,61,2746.606038764032,3663.5098349349564
140,51,3075.252981247156,3682.09190009
141,81,4170.1243738586645,3674.27374215551
142,131,2945.0127423706535,3780.1748198806317
143,91,3704.0415470288244,3691.87694386461
144,131,3228.912425719045,3641.726344412867
145,81,3106.6265963696055,3763.6632071412037
146,51,3524.6822661190704,3626.400964964385
147,61,3633.7722451269715,3605.2064415102723
148,61,3458.0936276611974,3620.1224743487405
149,51,3518.329245063013,3583.098607013665
150,31,3336.0432307316814,3686.7830992673153
151,31,4322.771970137162,3550.1407231213548
152,21,3755.7582152701616,3832.737173278129
153,131,2889.789018042276,3791.1536814467845
154,41,2845.643988665908,3713.7434006823114
155,21,3031.109012044965,3804.862384120451
156,101,3044.3457946781646,3712.33898171187
157,21,3293.014819901152,3864.9162556020865
158,41,3480.473259566783,3689.895949152103
159,191,3125.940569545384,3793.1459591599187
160,51,4069.364494925228,3613.321013566049
161,51,3507.5175570590063,3605.783860131808
162,51,3361.1717515067244,3653.6237999738282
163,21,3558.1982956537227,3638.819662236645
164,11,3334.542174309096,3760.57009217854
165,41,2496.9423112454456,3720.8795537283418
166,71,3253.085386091029,3655.844955778293
167,121,3247.5348647282885,3628.9690077497216
168,31,4229.199847904888,3575.587844106941
169,81,3001.9265398359457,4254.764840644186
170,111,2962.868471743016,3644.0667985166065
171,21,3500.12055095157,3626.6068821358213
172,91,3449.0381488581374,3579.7284205722135
173,191,3615.903038462581,3815.049673916955
174,31,3739.0074523430976,3546.005819988461
175,121,3594.670850867104,3663.7707444694897
176,51,3378.102498696747,3599.523675716457
177,181,3746.826963863055,3680.098851768851
178,131,3077.231218371445,3636.3463105771866
179,41,3323.1124057997736,3667.0143243162784
180,51,3122.3742233335265,3583.300828699844
181,21,3566.992588863153,3707.7561849729586
182,91,3166.482443228928,3700.688554559173
183,61,3710.57777804948,3631.3885903429896
184,151,3622.7436961603603,3673.096847468844
185,131,3648.177215047098,3609.178665633842
186,71,3013.054105865833,3875.4236304367078
187,51,3549.156156760199,3587.2928946138613
188,171,3178.196551704192,3754.5080792262506
189,71,2866.455958163985,3622.4714388035827
190,191,3578.6705126777115,3681.9369790308087
191,41,3436.4144770664534,3901.666880904869
192,181,3907.573326015274,3607.1978930960177
193,31,3182.9741030764203,3721.0075136867367
194,61,2909.919872721983,3611.1754836569903
195,41,4003.0347860832503,3574.955002211409
196,51,3234.870250034843,3597.6954211416287
197,181,3835.4284419975465,3824.2633576951484
198,81,3291.8153557176947,3601.440377787587
199,61,3968.5350703149606,3603.5689559000525
200,81,3477.788668479685,3625.3474681434723
201,31,3384.841200381662,3722.432057642317
202,121,3669.8685217649822,3663.2901811487804
203,31,3515.571165119988,3760.869601188917
204,61,4153.9918857533185,3641.3759987024296
205,41,3257.1116057431304,3676.1539558949316
206,21,3762.6779365842517,3683.0442055547082
207,31,3166.8150159395996,3731.513795648739
208,71,2948.950880938654,3574.3248113288328
209,191,3030.310735499571,3949.975118632
210,141,4104.9776051683175,3665.059691363597
211,51,3172.178834312515,3639.947969536735
212,31,3164.71254323004,3694.2931593007397
213,111,3240.1918552506213,3716.2693155434054
214,61,3120.5167527700096,3751.6226928600518
215,91,2920.506184420262,3748.4898432369246
216,31,3209.3901458003593,3621.9042970860864
217,91,2473.9438979369274,3749.4302389831487
218,71,3371.8484078692777,3595.7659598591977
219,81,3399.4243338233537,3695.9328247075136
220,191,2858.8545499916627,3764.5145345304177
221,31,2989.1073408626644,3730.2148638942385
222,41,3242.186639111846,3762.1394558152338
223,91,3381.8259988101568,3766.2226131446428
224,31,3518.991426570333,3678.025400831077
225,61,3370.848360232372,3600.2927966854863
226,101,3425.6709587576006,3836.2911010872403
227,41,3261.958964217718,3734.6091893953017
228,31,2934.870206896587,3581.0905667781867
229,41,3191.1516730034705,3678.4065686895956
230,131,4071.514321823703,3822.3494867456097
231,31,3844.716382312435,3632.1466019190248
232,71,3174.42995027956,3748.643224835285
233,191,3479.341791982186,3667.1757786483963
234,51,3937.8367929605806,3611.0051156522277
235,91,3926.360950305914,3699.9449643319576
236,61,3347.8619007551115,3716.276096088418
237,171,3621.6990913012296,3929.10883507639
238,91,3538.617629197986,4031.1318060381245
239,191,3809.7761551738845,3664.2561708188605
240,31,2772.5744594299376,3650.468689274949
241,191,3465.660431304488,3639.403804181573
242,51,3175.60968009938,3620.332230455238
243,121,3222.200078543837,3755.418501755387
244,31,3117.8778421679344,3612.758439995562
245,81,3204.0775992380745,3578.1283541994994
246,21,3429.547104179603,3650.5173258000486
247,161,3325.4838434024728,3898.350404165414
248,191,3562.4019724016634,3619.077364108634
249,41,3626.8790439596637,3587.9761459495926
250,11,4146.672438528741,3726.8356444196816
251,41,3209.4642529987577,3831.5355572785156
252,181,3385.464345732054,3794.2596875762506
253,41,3656.2873126393815,3575.4567638004423
254,21,2995.123560327731,3651.0329721335934
255,51,3745.6908690138953,3781.1708185631337
256,81,3760.9365494476856,3986.5395852765273
257,81,3263.99281783608,3590.6328263857786
258,61,3926.296932484818,3603.185116674276
259,21,3728.7998378204506,3726.0052013215745
260,51,3558.8831595801134,3752.753859858438
261,51,4159.574610787083,3575.885382898467
262,41,3422.0453126298466,3622.4953349203647
263,31,3020.017223448487,3573.834747928327
264,21,4176.1613834936925,3695.2561018301717
265,71,4322.626061511016,3629.4979910077077
266,61,3217.341867879018,4001.5285442762256
267,31,2829.669642203219,3640.964086426708
268,81,2521.7284839016934,3768.251296239277
269,111,2512.0551166067903,3697.510101761895
270,41,3234.4535308634013,3575.817135084407
271,31,3152.4902323710353,3840.2375159741873
272,41,3862.224976990393,3609.6816469719206
273,191,3331.788624410476,3697.9747216276683
274,101,2511.165819241244,3766.908849119264
275,71,3551.17789048859,3653.6007439380915
276,51,3685.7526969832097,3620.984902684736
